Product,Total Sales (USD),Number of Purchases
#IamRemarkable Journal,240,40
#IamRemarkable Ladies T-Shirt,310,31
#IamRemarkable Lapel Pin,30,15
#IamRemarkable Pen,98,7
#IamRemarkable Tote,42,7
#IamRemarkable Unisex Hoodie,806,31
#IamRemarkable Unisex T-Shirt,610,61
#IamRemarkable Water Bottle,360,30
Android Buoy Bottle,220,55
Android Flex Journal White,4,2
Android Garden Tee Orange,552,32
Android Geek Pin,24,6
Android Hipster Pin,40,10
Android Iconic 4&quot; Decal,18,18
Android Iconic Backpack,175,7
Android Iconic Beanie,208,26
Android Iconic Bottle Black,24,1
Android Iconic Crewneck Sweatshirt,4752,108
Android Iconic Glass Bottle Green,208,16
Android Iconic Hat Black,261,29
Android Iconic Hat Green,351,27
Android Iconic Hat White,312,24
Android Iconic Mug Gray,527,31
Android Iconic Notebook,136,8
Android Iconic Pen,46,23
Android Iconic Pin,63,21
Android Iconic Socks,357,21
Android Iconic Sticker Sheet,42,14
Android Jotter Task Pad,26,13
Android Large Removable Sticker Sheet,110,55
Android Large Trace Journal Black,200,25
Android Lumberjack Pin,136,34
Android Pocket Onesie Navy,940,50
Android Pocket Onesie White,18,1
Android Pocket Tee Green,718,26
Android Pocket Tee Navy,1453,59
Android Pocket Toddler Tee Navy,522,29
Android Pocket Toddler Tee White,18,1
Android Pocket Youth Tee Green,210,10
Android Pocket Youth Tee Navy,260,12
Android Puzzlebot v2,128,8
Android SM S/F18 Sticker Sheet,230,115
Android Small Trace Journal Black,75,15
Android Super Hero 3D Framed Art,496,31
Android Techie 3D Framed Art,640,40
BLM Unisex Pullover Hoodie,104,2
Candy Cane Android Cardboard Sculpture,8,1
Daddy Works at Google Book,704,44
Essential Canvas Tote,576,18
Flamingo and Friends Tee Blue,448,28
Gift Card - $25.00,1050,42
Gift Card - $50.00,250,5
Gift Card- $100.00,1200,12
Google 16 oz Tumbler Blue,210,21
Google 24 oz Ring Bottle Red,180,30
Google 24oz Ring Bottle Blue,308,44
Google Aluminum Bottle Red,132,22
Google ApPeel Journal Red,330,22
Google Austin Campus Bottle,176,16
Google Austin Campus Ladies Tee,140,10
Google Austin Campus Lapel Pin,36,12
Google Austin Campus Mug,567,81
Google Austin Campus Tote,144,18
Google Austin Campus Unisex Tee,98,7
Google Austin Campus Zip Hoodie,768,24
Google Badge Heavyweight Pullover Black,8464,184
Google Bear Baby Blanket Beige,703,37
Google Beekeepers Onesie Pink,336,24
Google Beekeepers Tee Mint,754,51
Google Beekeepers Toddler Tee Pink,252,18
Google Beekeepers Youth Tee Pink,182,13
Google Bellevue Campus Sticker,8,8
Google Black Cloud Zip Hoodie,3882,66
Google Black Cork Journal,1044,87
Google Blue Kids Sunglasses,156,39
Google Blue Stojo Cup,1075,43
Google Blue YoYo,92,23
Google Bot,312,39
Google Bot (Multicolored),320,40
Google Bottle Cleaner,32,4
Google Boulder Campus Bottle,55,5
Google Boulder Campus Ladies Tee,154,11
Google Boulder Campus Lapel Pin,12,4
Google Boulder Campus Mug,280,35
Google Boulder Campus Sticker,23,23
Google Boulder Campus Tote,36,6
Google Boulder Campus Unisex Tee,266,19
Google Boulder Campus Zip Hoodie,640,20
Google Cambridge Campus Bottle,77,7
Google Cambridge Campus Ladies Tee,92,6
Google Cambridge Campus Lapel Pin,15,5
Google Cambridge Campus Mug,329,47
Google Cambridge Campus Sticker,20,20
Google Cambridge Campus Tote,30,5
Google Cambridge Campus Unisex Tee,194,13
Google Cambridge Campus Zip Hoodie,712,20
Google Camp Mug Gray,1060,106
Google Camp Mug Ivory,2230,223
Google Campus Bike,4440,111
Google Campus Bike Bottle,770,35
Google Campus Bike Carry Pouch,192,24
Google Campus Bike Corkbase Mug Blue,728,52
Google Campus Bike Eco Tee Navy,1015,48
Google Campus Bike Grid Task Pad,240,24
Google Campus Bike Mini Backpack,608,19
Google Campus Bike Tote Navy,504,56
Google Canteen Bottle Black,3456,144
Google Chicago Campus Bottle,176,16
Google Chicago Campus Ladies Tee,140,10
Google Chicago Campus Lapel Pin,21,7
Google Chicago Campus Mug,434,62
Google Chicago Campus Tote,54,9
Google Chicago Campus Unisex Tee,224,16
Google Chicago Campus Zip Hoodie,608,19
Google Chrome Dino Light Up Water Bottle,133,7
Google Chrome Dinosaur Collectible,1392,58
Google Clear Framed Blue Shades,156,52
Google Clear Framed Gray Shades,129,43
Google Clear Framed Yellow Shades,138,46
Google Clear Pen 4-Pack,474,158
Google Cloth & Pouch Black,27,9
Google Cloud Pen,132,44
Google Color Block Notebook,204,17
Google Confetti Accessory Pouch,140,14
Google Confetti Pen White,46,23
Google Confetti Slim Task Pad,114,38
Google Confetti Task Pad,144,24
Google Cork Base Tumbler,946,43
Google Cork Card Holder,442,26
Google Cork Journal,175,25
Google Cork Key Ring,119,17
Google Cork Passport Holder,352,22
Google Cork Pencil Pouch,208,26
Google Cork Tablet Case,102,6
Google Cotopaxi Shell,3572,94
Google Crew Combed Cotton Sock,1428,102
Google Crew Socks,2002,154
Google Crew Striped Athletic Sock,868,62
Google Crewneck Sweatshirt Green,7788,177
Google Crewneck Sweatshirt Grey,4114,93
Google Crewneck Sweatshirt Navy,9900,225
Google Cup Cap Tumbler Grey,672,28
Google Decal,73,73
Google Dino Game Tee,3200,100
Google Emoji Magnet Set,380,38
Google Emoji Sticker Pack,232,58
Google F/C Longsleeve Ash,3432,143
Google F/C Longsleeve Charcoal,4092,164
Google Felt Luggage Tag,120,20
Google Felt Refillable Journal,448,28
Google Felt Strap Keyring,130,13
Google Flat Front Bag Grey,2550,85
Google Frisbee,22,22
Google Glass Bottle,1926,107
Google Heather Green Speckled Tee,1761,76
Google Heathered Pom Beanie,2328,194
Google Hemp Tote,636,53
Google Incognito Dopp Kit V2,646,17
Google Incognito Flap Pack,360,6
Google Incognito Laptop Organizer,810,18
Google Incognito Messenger Bag,840,14
Google Incognito Techpack V2,3010,43
Google Incognito Zip Pack,1525,25
Google Infant Charcoal Onesie,1000,50
Google Infant Hero Onesie Grey,486,27
Google Infant Hero Tee Olive,602,43
Google Jotter Task Pad,28,14
Google KeepCup,1400,50
Google Keychain,568,71
Google Kirkland Campus Ladies Tee,140,10
Google Kirkland Campus Lapel Pin,6,2
Google Kirkland Campus Mug,133,19
Google Kirkland Campus Sticker,10,10
Google Kirkland Campus Unisex Tee,308,22
Google Knit Blanket,980,14
Google LA Campus Bottle,121,11
Google LA Campus Ladies Tee,256,16
Google LA Campus Lapel Pin,33,11
Google LA Campus Mug,399,57
Google LA Campus Sticker,40,40
Google LA Campus Tote,90,15
Google LA Campus Unisex Tee,568,40
Google LA Campus Zip Hoodie,626,19
Google Land & Sea Cotton Cap,1750,125
Google Land & Sea French Terry Sweatshirt,1331,30
Google Land & Sea Journal Set,720,60
Google Land & Sea Mug,742,53
Google Land & Sea Nalgene Water Bottle,1240,62
Google Land & Sea Tech Taco,69,23
Google Land & Sea Tote Bag,624,39
Google Land & Sea Women's Eco Tee,200,10
Google Lapel Pin,328,41
Google Laptop Sleeve Charcoal,192,12
Google Laptop and Cell Phone Stickers,450,150
Google Large Pet Collar (Blue/Green),168,6
Google Large Pet Collar (Red/Yellow),175,5
Google Large Pet Leash (Blue/Green),196,7
Google Large Pet Leash (Red/Yellow),280,8
Google Large Standard Journal Grey,1248,78
Google Large Tote White,790,79
Google Large White Gift Bag 5/PK,120,12
Google Leather Strap Hat Black,686,49
Google Leather Strap Hat Blue,1848,132
Google Light Pen Blue,172,86
Google Light Pen Green,128,64
Google Light Pen Red,144,72
Google Light Pen Yellow,2,1
Google LoveHandle Black,256,32
Google Magnet,642,107
Google Maps Pin,161,23
Google Medium Pet Collar (Blue/Green),168,6
Google Medium Pet Collar (Red/Yellow),140,5
Google Medium Pet Leash (Blue/Green),196,7
Google Medium Pet Leash (Red/Yellow),56,2
Google Men's Discovery Lt. Rain Shell,222,4
Google Men's Puff Jacket Black,5911,63
Google Men's Softshell Moss,2686,34
Google Men's Tech Fleece Grey,9489,123
Google Men's Tech Fleece Vest Charcoal,5059,77
Google Mens Microfleece Jacket Black,420,10
Google Mesh Bag Blue,216,36
Google Mesh Bag Red,90,15
Google Metallic Notebook Set,685,137
Google Mini Kick Ball,82,41
Google Mountain View Campus Ladies Tee,340,24
Google Mountain View Campus Sticker,10,10
Google Mountain View Campus Unisex Tee,112,8
Google Mountain View Campus Zip Hoodie,854,25
Google Mountain View Tee Red,14,1
Google Mouse Pad Navy,100,25
Google Mural Bottle,513,27
Google Mural Mug,588,42
Google Mural Notebook,315,21
Google Mural Socks,612,51
Google Mural Sticker Sheet,207,69
Google Mural Sticky Note Pad,528,48
Google Mural Tote,168,12
Google NYC Campus Bottle,407,37
